0.0000000.0,0.0000000.0,0.0000000.0,
0.4102490.0,0.1219360.0,0.0661190.0,
0.4012130.0,0.1232460.0,0.0624260.0,
0.4001570.0,0.1246690.0,0.0633910.0,
0.3852680.0,0.1287180.0,0.0615220.0,
0.4031150.0,0.1231760.0,0.0635500.0,
0.4075180.0,0.1223790.0,0.0646280.0,
0.4217770.0,0.1190710.0,0.0656000.0,
0.4065720.0,0.1237980.0,0.0633780.0,
0.4154130.0,0.1196200.0,0.0633580.0,
0.4375350.0,0.1170870.0,0.0675040.0,
0.4299740.0,0.1169490.0,0.0653580.0,
0.4253700.0,0.1192660.0,0.0635750.0,
0.4205240.0,0.1192030.0,0.0629890.0,
0.4401730.0,0.1153340.0,0.0649290.0,
0.4349650.0,0.1177640.0,0.0646520.0,
0.4219340.0,0.1203390.0,0.0600150.0,
0.4347210.0,0.1158120.0,0.0615420.0,
0.4620690.0,0.1103510.0,0.0652660.0,
0.4572290.0,0.1119200.0,0.0650270.0,
0.4481630.0,0.1132800.0,0.0638960.0,
0.4624900.0,0.1108400.0,0.0651620.0,
0.4647210.0,0.1101440.0,0.0660210.0,
0.4502660.0,0.1129530.0,0.0636570.0,
0.4699790.0,0.1093970.0,0.0650090.0,
0.4557580.0,0.1110020.0,0.0634930.0,
0.4699410.0,0.1086290.0,0.0646740.0,
0.4717550.0,0.1086460.0,0.0651650.0,
0.4703700.0,0.1084510.0,0.0640190.0,
0.4783870.0,0.1076850.0,0.0663400.0,
0.4834420.0,0.1069050.0,0.0629290.0,
0.4565780.0,0.1102320.0,0.0588960.0,
0.4579200.0,0.1106510.0,0.0592750.0,
0.4765390.0,0.1077520.0,0.0645340.0,
0.4858920.0,0.1062390.0,0.0633720.0,
0.4909660.0,0.1047400.0,0.0650710.0,
0.4802620.0,0.1071640.0,0.0608530.0,
0.4819010.0,0.1053120.0,0.0623410.0,
0.4927520.0,0.1045360.0,0.0632990.0,
0.4903810.0,0.1046390.0,0.0645310.0,
0.4919710.0,0.1042420.0,0.0634860.0,
0.4825650.0,0.1045770.0,0.0597760.0,
0.5090140.0,0.1017870.0,0.0642730.0,
0.4955570.0,0.1032620.0,0.0606100.0,
0.4987360.0,0.1038820.0,0.0608590.0,
0.5084880.0,0.1015840.0,0.0628500.0,
0.5027170.0,0.1018070.0,0.0607290.0,
0.5053670.0,0.1012540.0,0.0610930.0,
0.4948980.0,0.1026620.0,0.0627380.0,
0.4996780.0,0.1019250.0,0.0602140.0,
0.5335000.0,0.0966440.0,0.0636080.0,
0.4886780.0,0.1046030.0,0.0576800.0,
0.5025290.0,0.1027600.0,0.0590690.0,
0.5009530.0,0.1014290.0,0.0587450.0,
0.5141440.0,0.0993640.0,0.0580650.0,
0.5029760.0,0.1012440.0,0.0577640.0,
0.5353510.0,0.0935800.0,0.0588020.0,
0.5141750.0,0.0981070.0,0.0584930.0,
0.5051520.0,0.0999350.0,0.0594840.0,
0.5053490.0,0.0994860.0,0.0569060.0,
0.5186130.0,0.0980580.0,0.0581640.0,
0.5097990.0,0.0992750.0,0.0572950.0,
0.5239680.0,0.0971240.0,0.0608470.0,
0.4985710.0,0.1006530.0,0.0560610.0,
0.5195490.0,0.0976990.0,0.0591150.0,
0.5150270.0,0.0981190.0,0.0576560.0,
0.5386000.0,0.0950850.0,0.0593020.0,
0.5363730.0,0.0947320.0,0.0589740.0,
0.5243310.0,0.0982510.0,0.0561870.0,
0.5347820.0,0.0949660.0,0.0557800.0,
0.5273940.0,0.0978870.0,0.0604770.0,
0.5386660.0,0.0947800.0,0.0588470.0,
0.5161430.0,0.0979100.0,0.0536680.0,
0.5088260.0,0.0986310.0,0.0558240.0,
0.5291700.0,0.0960840.0,0.0559200.0,
0.5268370.0,0.0959000.0,0.0549270.0,
0.5395060.0,0.0930610.0,0.0541180.0,
0.5229700.0,0.0964450.0,0.0538220.0,
0.5199760.0,0.0977390.0,0.0557180.0,
0.5243930.0,0.0960900.0,0.0519170.0,
0.5428760.0,0.0909780.0,0.0537120.0,
0.5219930.0,0.0970960.0,0.0558990.0,
0.5351340.0,0.0967230.0,0.0541960.0,
0.5365340.0,0.0942500.0,0.0545760.0,
0.5218070.0,0.0954530.0,0.0534780.0,
0.5437010.0,0.0925730.0,0.0572120.0,
0.5425060.0,0.0924920.0,0.0557200.0,
0.5454900.0,0.0924490.0,0.0525240.0,
0.5507640.0,0.0916660.0,0.0535820.0,
0.5329380.0,0.0934030.0,0.0512270.0,
0.5450110.0,0.0923530.0,0.0568840.0,
0.5337190.0,0.0939990.0,0.0524060.0,
0.5453350.0,0.0923940.0,0.0537650.0,
0.5336980.0,0.0936220.0,0.0522700.0,
0.5550650.0,0.0909170.0,0.0538060.0,
0.5246710.0,0.0953390.0,0.0534160.0,
0.5283690.0,0.0932860.0,0.0516260.0,
0.5333040.0,0.0933700.0,0.0517270.0,
0.5026380.0,0.0989690.0,0.0477040.0,
0.5438680.0,0.0931740.0,0.0515270.0,
